Date,Open,High,Low,Close,Volume,AdjClose
2/4/1987,19956,20005,19921,19974,0,19974
2/5/1987,19972,20031,19792,19795,0,19795
2/6/1987,19786,19817,19669,19669,0,19669
2/9/1987,19546,19696,19517,19679,0,19679
2/10/1987,19693,19838,19693,19814,0,19814
2/12/1987,19818,19941,19818,19875,0,19875
2/13/1987,19872,19916,19629,19629,0,19629
2/16/1987,19622,19622,19532,19532,0,19532
2/17/1987,19523,19642,19514,19638,0,19638
2/18/1987,19659,19885,19659,19882,0,19882
2/19/1987,19899,20228,19899,20228,0,20228
2/20/1987,20226,20246,20045,20080,0,20080
2/23/1987,20071,20089,19905,19941,0,19941
2/24/1987,19942,20129,19931,20076,0,20076
2/25/1987,20077,20262,20077,20186,0,20186
2/26/1987,20192,20598,20192,20454,0,20454
2/27/1987,20445,20509,20291,20422,0,20422
3/2/1987,20771,20948,20771,20934,0,20934
3/3/1987,20943,21127,20943,20971,0,20971
3/4/1987,20970,21202,20968,21032,0,21032
3/5/1987,21047,21261,21047,21176,0,21176
3/6/1987,21184,21346,21083,21106,0,21106
3/9/1987,21139,21312,21139,21166,0,21166
3/10/1987,21166,21231,21104,21214,0,21214
3/11/1987,21214,21369,21213,21313,0,21313
3/12/1987,21329,21472,21319,21470,0,21470
3/13/1987,21476,21527,21446,21498,0,21498
3/16/1987,21493,21517,21343,21415,0,21415
3/17/1987,21415,21521,21388,21515,0,21515
3/18/1987,21519,21789,21519,21705,0,21705
3/19/1987,21718,21884,21632,21644,0,21644
3/20/1987,21643,21671,21602,21658,0,21658
3/23/1987,21657,21866,21582,21588,0,21588
3/24/1987,21598,21675,21416,21435,0,21435
3/25/1987,21449,21539,21290,21473,0,21473
3/26/1987,21470,21583,21469,21559,0,21559
3/27/1987,21559,22027,21551,22027,0,22027
3/30/1987,22183,22218,21628,21628,0,21628
3/31/1987,21616,21759,21304,21567,0,21567
4/1/1987,21576,22040,21576,22040,0,22040
4/2/1987,22036,22543,22036,22368,0,22368
4/3/1987,22358,22531,22355,22411,0,22411
4/6/1987,22750,22891,22581,22586,0,22586
4/7/1987,22592,22859,22592,22785,0,22785
